(0, 0.0060000000000000001)
(1, 0.021000000000000001)
(2, 0.42199999999999999)
(3, 0.61199999999999999)
(4, 0.72599999999999998)
(5, 0.73799999999999999)
(6, 0.81299999999999994)
(7, 0.82199999999999995)
(8, 0.84199999999999997)
(9, 0.84099999999999997)
(10, 0.82299999999999995)
(11, 0.83999999999999997)
(12, 0.85599999999999998)
(13, 0.84299999999999997)
(14, 0.85699999999999998)
(15, 0.86499999999999999)
(16, 0.85599999999999998)
(17, 0.86699999999999999)
(18, 0.84699999999999998)
(19, 0.84099999999999997)
(20, 0.86199999999999999)
(21, 0.86199999999999999)
(22, 0.86199999999999999)
(23, 0.86399999999999999)
(24, 0.873)
(25, 0.85899999999999999)
(26, 0.84999999999999998)
(27, 0.84699999999999998)
(28, 0.879)
(29, 0.85299999999999998)
(30, 0.85699999999999998)
(31, 0.86299999999999999)
(32, 0.875)
(33, 0.88500000000000001)
(34, 0.87)
(35, 0.86399999999999999)
(36, 0.873)
(37, 0.877)
(38, 0.86699999999999999)
(39, 0.86099999999999999)
(40, 0.88100000000000001)
(41, 0.86699999999999999)
(42, 0.86399999999999999)
(43, 0.88500000000000001)
(44, 0.88300000000000001)
(45, 0.85599999999999998)
(46, 0.86799999999999999)
(47, 0.86599999999999999)
(48, 0.88500000000000001)
(49, 0.86799999999999999)
