(0, 0.010999999999999999)
(1, 0.019)
(2, 0.46100000000000002)
(3, 0.65300000000000002)
(4, 0.73099999999999998)
(5, 0.76200000000000001)
(6, 0.81200000000000006)
(7, 0.84299999999999997)
(8, 0.83199999999999996)
(9, 0.84299999999999997)
(10, 0.85399999999999998)
(11, 0.84099999999999997)
(12, 0.83399999999999996)
(13, 0.86099999999999999)
(14, 0.84799999999999998)
(15, 0.84899999999999998)
(16, 0.85199999999999998)
(17, 0.85399999999999998)
(18, 0.85599999999999998)
(19, 0.84699999999999998)
(20, 0.86199999999999999)
(21, 0.86599999999999999)
(22, 0.84799999999999998)
(23, 0.86099999999999999)
(24, 0.86499999999999999)
(25, 0.86199999999999999)
(26, 0.86399999999999999)
(27, 0.86599999999999999)
(28, 0.86499999999999999)
(29, 0.86499999999999999)
(30, 0.874)
(31, 0.85799999999999998)
(32, 0.85999999999999999)
(33, 0.85999999999999999)
(34, 0.85399999999999998)
(35, 0.86299999999999999)
(36, 0.86199999999999999)
(37, 0.84399999999999997)
(38, 0.871)
(39, 0.88)
(40, 0.88)
(41, 0.875)
(42, 0.86699999999999999)
(43, 0.86899999999999999)
(44, 0.86499999999999999)
(45, 0.85799999999999998)
(46, 0.86799999999999999)
(47, 0.88100000000000001)
(48, 0.86699999999999999)
(49, 0.87)
